method,epoch,mean_source_val_macro_f1,classification_loss,alignment_loss,total_loss,domain_accuracy,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1,mean_source_accuracy,worst_source_accuracy,mean_source_macro_f1,worst_source_macro_f1
sam_rho_0p01,5,,0.06984786666023274,0.0,0.11869676559208295,,0.9610778443113772,0.9547665680185157,0.8878048780487805,0.8833566768894426,0.9360341151385928,0.9391523355923707,0.9283056124995834,0.8878048780487805,0.9257585268334431,0.8833566768894426
sam_rho_0p01,6,,0.0607238761304816,0.0,0.10639422135546994,,0.9700598802395209,0.9648966241137856,0.9,0.8914978945271436,0.9424307036247335,0.9463844780270396,0.9374968612880847,0.9,0.9342596655559895,0.8914978945271436
sam_rho_0p01,7,,0.048576796522765,0.0,0.08938249796340401,,0.9790419161676647,0.976448357286435,0.8560975609756097,0.8469467894108386,0.9339019189765458,0.9363056889473439,0.9230137987066067,0.8560975609756097,0.9199002785482059,0.8469467894108386
sam_rho_0p01,8,,0.041794072526072264,0.0,0.08089730847387129,,0.9670658682634731,0.9597994215485802,0.9121951219512195,0.9106938919496014,0.9466950959488273,0.951127141976863,0.9419853620545067,0.9121951219512195,0.9405401518250148,0.9106938919496014
sam_rho_0p01,9,,0.03196401951140421,0.0,0.06417135938650802,,0.9580838323353293,0.9530586792843462,0.8878048780487805,0.8825338560427721,0.9445628997867804,0.9483996430648544,0.9301505367236301,0.8878048780487805,0.9279973927973243,0.8825338560427721
sam_rho_0p01,10,,0.030893481396047626,0.0,0.06346977609543042,,0.9640718562874252,0.9618619257057738,0.9024390243902439,0.9035693563276375,0.9424307036247335,0.9489986478055707,0.9363138614341343,0.9024390243902439,0.9381433099463273,0.9035693563276375
sam_rho_0p01,11,,0.023761379499059036,0.0,0.05261276235798241,,0.9550898203592815,0.9462750563693014,0.8975609756097561,0.8892129477871498,0.9381663113006397,0.9434785098907134,0.9302723690898924,0.8975609756097561,0.9263221713490548,0.8892129477871498
sam_rho_0p01,12,,0.051612909418096944,0.0,0.0967818060648552,,0.9640718562874252,0.9591099526788671,0.8951219512195122,0.8958343248704649,0.9573560767590619,0.9623051607778049,0.9388499614219997,0.8951219512195122,0.9390831461090455,0.8958343248704649
sam_rho_0p01,13,,0.02122330737398427,0.0,0.0491251647664697,,0.9700598802395209,0.9640803777555293,0.9024390243902439,0.8973769720867469,0.9509594882729211,0.9568152641956076,0.9411527976342287,0.9024390243902439,0.9394242046792947,0.8973769720867469
sam_rho_0p1,1,,1.9430626574744525,0.0,1.9977768736007886,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
sam_rho_0p1,2,,1.9352166031160924,0.0,1.9574536085128784,,0.36826347305389223,0.17478070175438595,0.22682926829268293,0.06556389025396618,0.18550106609808104,0.06932773109243698,0.26019793581488543,0.18550106609808104,0.10322410770026304,0.06556389025396618
sam_rho_0p1,3,,1.9047328799198835,0.0,1.9541007321105044,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
sam_rho_0p1,4,,1.7690734068552654,0.0,1.844454237538525,,0.48502994011976047,0.2569387207452416,0.33414634146341465,0.20726819255253875,0.31130063965884863,0.2003386141864567,0.37682564041400796,0.31130063965884863,0.22151517582807903,0.2003386141864567
sam_rho_0p1,5,,1.8674070147367625,0.0,1.9274162206894312,,0.2694610778443114,0.0781135531135531,0.21951219512195122,0.051531634697967364,0.18550106609808104,0.06021506540760634,0.22482477968811454,0.18550106609808104,0.06328675107304227,0.051531634697967364
sam_rho_0p1,6,,1.6865085551881382,0.0,1.7893693161825848,,0.5239520958083832,0.34043989277971237,0.33414634146341465,0.23617302337310184,0.3603411513859275,0.2395983683824121,0.4061465295525751,0.33414634146341465,0.27207042817840876,0.23617302337310184
sam_rho_0p1,7,,1.36095047965009,0.0,1.6213417160205352,,0.6616766467065869,0.5520188485054812,0.4658536585365854,0.40539166170374735,0.6311300639658849,0.6000675204222734,0.5862201230696857,0.4658536585365854,0.519159343543834,0.40539166170374735
sam_rho_0p1,8,,0.9213828725947274,0.0,1.2631561042916062,,0.8143712574850299,0.7572981386262354,0.6682926829268293,0.6596693534326415,0.7889125799573561,0.7855398413128688,0.7571921734564051,0.6682926829268293,0.7341691111239154,0.6596693534326415
sam_rho_0p1,9,,0.6103653603384638,0.0,0.9608130890589494,,0.8862275449101796,0.8618734903309567,0.7804878048780488,0.7803848156312052,0.8720682302771855,0.8826766921878372,0.8462611933551379,0.7804878048780488,0.841644999383333,0.7803848156312052
sam_rho_0p1,10,,0.40079766371820724,0.0,0.7203152137689102,,0.9161676646706587,0.8990334083780873,0.8390243902439024,0.8338345647017624,0.8933901918976546,0.9051030235976038,0.8828607489374053,0.8390243902439024,0.8793236655591512,0.8338345647017624
sam_rho_0p1,11,,0.2829557480529333,0.0,0.5751112577242729,,0.9311377245508982,0.918396247695555,0.8414634146341463,0.832638826137356,0.9189765458422174,0.9279559101712558,0.897192561675754,0.8414634146341463,0.8929969946680556,0.832638826137356
sam_rho_0p1,12,,0.1997662616543408,0.0,0.4565247593081405,,0.9431137724550899,0.9318666662076298,0.8560975609756097,0.8487634644377391,0.9232409381663113,0.9322607140194291,0.9074840905323369,0.8560975609756097,0.9042969482215993,0.8487634644377391
sam_rho_0p1,13,,0.14795660611608216,0.0,0.37924519783029187,,0.9491017964071856,0.9394895659617004,0.8512195121951219,0.8513785194021113,0.9275053304904051,0.9362433528058816,0.9092755463642375,0.8512195121951219,0.9090371460565644,0.8513785194021113
sam_rho_0p1,14,,0.12073381971488269,0.0,0.34689331917553884,,0.937125748502994,0.9276434502563359,0.8829268292682927,0.8740748749743688,0.9317697228144989,0.9396183284032368,0.9172741001952618,0.8829268292682927,0.9137788845446471,0.8740748749743688
sam_rho_0p1,15,,0.08816892399977988,0.0,0.29208494770603305,,0.9580838323353293,0.9509708460655523,0.875609756097561,0.8728103689707886,0.9339019189765458,0.9388563285129737,0.9225318358031455,0.875609756097561,0.9208791811831049,0.8728103689707886
sam_rho_0p1,16,,0.07537050020849156,0.0,0.262106164971478,,0.9550898203592815,0.9472297046816419,0.8853658536585366,0.8821677238238104,0.9381663113006397,0.9448988366309443,0.9262073284394859,0.8853658536585366,0.9247654217121322,0.8821677238238104
sam_rho_0p1,17,,0.05886973430100096,0.0,0.22689653121126005,,0.9491017964071856,0.9393847324174583,0.875609756097561,0.869393305552873,0.9381663113006397,0.9455222104065479,0.9209592879351288,0.875609756097561,0.918100082792293,0.869393305552873
sam_rho_0p1,18,,0.04546613524106737,0.0,0.20044573213363814,,0.9610778443113772,0.9535184721793586,0.8853658536585366,0.8802611485976707,0.9381663113006397,0.9454488706361363,0.9282033364235178,0.8853658536585366,0.9264094971377218,0.8802611485976707
sam_rho_0p1,19,,0.035146976517151214,0.0,0.18753785117823854,,0.9640718562874252,0.9568526887911816,0.8634146341463415,0.8564932304210023,0.9445628997867804,0.9500380538664833,0.924016463406849,0.8634146341463415,0.9211279910262223,0.8564932304210023
sam_rho_0p1,20,,0.026058022384074096,0.0,0.15451803793891883,,0.9640718562874252,0.9569576848124404,0.875609756097561,0.8705791692711177,0.9424307036247335,0.9479497674813168,0.9273707720032398,0.875609756097561,0.9251622071882917,0.8705791692711177
sam_rho_0p1,21,,0.023288024437743634,0.0,0.15158242895466906,,0.9550898203592815,0.9464815036689179,0.8878048780487805,0.8840056798838788,0.9509594882729211,0.9552006956339778,0.9312847288936611,0.8878048780487805,0.9285626263955914,0.8840056798838788
sam_rho_0p1,22,,0.02074446412349124,0.0,0.14743435768108082,,0.9640718562874252,0.9571346720836419,0.8829268292682927,0.8779394890853828,0.9360341151385928,0.9419966905715824,0.927677600231437,0.8829268292682927,0.9256902839135357,0.8779394890853828
sam_rho_0p1,23,,0.019071264097812332,0.0,0.1429209651457321,,0.9580838323353293,0.949370971381294,0.8853658536585366,0.8805211203277085,0.9637526652452025,0.9688146340127319,0.9357341170796895,0.8853658536585366,0.9329022419072448,0.8805211203277085
sam_rho_0p1,24,,0.010539085209109964,0.0,0.10291785014092796,,0.9580838323353293,0.9498080734389968,0.8780487804878049,0.8745522724565917,0.9530916844349681,0.9588682028526536,0.9297414324193675,0.8780487804878049,0.9277428495827474,0.8745522724565917
sam_rho_0p1,25,,0.011740745553877663,0.0,0.11945792683201213,,0.9520958083832335,0.9447362783428978,0.8829268292682927,0.8783124137930457,0.9424307036247335,0.9447885795400998,0.9258177804254198,0.8829268292682927,0.9226124238920144,0.8783124137930457
sam_rho_0p1,26,,0.009609314818387955,0.0,0.10804816247083437,,0.9491017964071856,0.9405345826538927,0.8829268292682927,0.8783749297079197,0.9424307036247335,0.950139226921254,0.924819776433404,0.8829268292682927,0.9230162464276889,0.8783749297079197
sam_rho_0p1,27,,0.008675499821209118,0.0,0.10972649928851005,,0.9580838323353293,0.954119214967947,0.9024390243902439,0.9021993259432344,0.9466950959488273,0.9513459187692118,0.9357393175581334,0.9024390243902439,0.9358881532267977,0.9021993259432344
sam_rho_0p1,28,,0.0069570996708154045,0.0,0.09926608428916234,,0.9491017964071856,0.939310739351593,0.8878048780487805,0.8807354980681836,0.9488272921108742,0.9501670254554018,0.9285779888556135,0.8878048780487805,0.9234044209583928,0.8807354980681836
sam_rho_0p1,29,,0.011174920166526228,0.0,0.1348619877965723,,0.9491017964071856,0.9407966056024494,0.8951219512195122,0.8907488907488909,0.9573560767590619,0.9628127656349238,0.93385994146192,0.8951219512195122,0.9314527539954214,0.8907488907488909
sam_rho_0p1,30,,0.005659984564694723,0.0,0.09856317278682294,,0.9550898203592815,0.9464425124147917,0.8780487804878049,0.8686018871475906,0.9466950959488273,0.9496568304021721,0.9266112322653045,0.8780487804878049,0.9215670766548515,0.8686018871475906
